1,1/2/2016 0:00,1/2/2016 0:11,1,4.5,-73.95565033,40.77253342,1,N,-73.91098022,40.76187134,2,14.5,0.5,0.5,0,0,0.3,15.8
2,1/2/2016 0:00,1/2/2016 0:08,5,1.62,-73.95584869,40.77218628,1,N,-73.97711945,40.78267288,1,8,0.5,0.5,1.5,0,0.3,10.8
2,1/2/2016 0:00,1/2/2016 0:02,1,0.37,-73.99497986,40.73654556,1,N,-73.98905182,40.73410034,1,3.5,0.5,0.5,1.44,0,0.3,6.24
2,1/2/2016 0:00,1/2/2016 0:02,1,0.37,-73.99434662,40.72489166,1,N,-74.00028992,40.72721481,1,4,0.5,0.5,1.06,0,0.3,6.36
2,1/2/2016 0:00,1/2/2016 0:31,1,9.5,-73.98270416,40.76256561,1,N,-73.86935425,40.70440674,2,31.5,0.5,0.5,0,0,0.3,32.8
1,1/2/2016 0:00,1/2/2016 0:37,1,13.8,-73.78356934,40.64857483,1,N,-73.98970795,40.64251328,1,42.5,0.5,0.5,8.75,0,0.3,52.55
1,1/2/2016 0:00,1/2/2016 0:03,1,0.3,-73.99460602,40.76337814,1,N,-73.99617004,40.76711655,2,4,0.5,0.5,0,0,0.3,5.3
2,1/2/2016 0:00,1/2/2016 0:05,1,0.73,-73.98931122,40.75289154,1,N,-73.98107147,40.74665833,2,5.5,0.5,0.5,0,0,0.3,6.8
2,1/2/2016 0:00,1/2/2016 0:14,1,3.69,-73.98750305,40.76562119,1,N,-73.99545288,40.72154617,1,13.5,0.5,0.5,2.96,0,0.3,17.76
1,1/2/2016 0:00,1/2/2016 0:15,1,3.4,-73.99157715,40.75026321,1,N,-73.95601654,40.77278519,1,13.5,0.5,0.5,3.11,0,0.3,17.91
1,1/2/2016 0:00,1/2/2016 0:27,1,8.8,-73.99427795,40.7507515,1,N,-73.9713974,40.67200089,2,29,0.5,0.5,0,0,0.3,30.3
2,1/2/2016 0:00,1/2/2016 0:11,1,1.84,-73.98577118,40.75270081,1,N,-74.00393677,40.73798752,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,1/2/2016 0:00,1/2/2016 0:05,1,0.9,-73.9901123,40.74337769,1,N,-73.99394226,40.75318146,1,6,0.5,0.5,1.45,0,0.3,8.75
1,1/2/2016 0:00,1/2/2016 0:16,1,6.3,-73.87234497,40.774086,1,N,-73.91408539,40.70649719,1,19.5,0.5,0.5,3,0,0.3,23.8
2,1/2/2016 0:00,1/2/2016 0:05,1,1.15,-73.9912262,40.75037766,1,N,-74.00341034,40.74366379,2,6,0.5,0.5,0,0,0.3,7.3
2,1/2/2016 0:00,1/2/2016 0:26,1,5.75,-73.99033356,40.75014496,1,N,-73.95608521,40.72133636,1,21.5,0.5,0.5,4.56,0,0.3,27.36
2,1/2/2016 0:00,1/2/2016 0:07,1,1.88,-73.96070862,40.79068375,1,N,-73.94842529,40.77425385,2,8.5,0.5,0.5,0,0,0.3,9.8
2,1/2/2016 0:00,1/2/2016 0:08,1,1.77,-73.95046997,40.82661819,1,N,-73.96713257,40.80379868,2,8.5,0.5,0.5,0,0,0.3,9.8
